3,309,282,192
126,476,462,224
120,324,288,228
54,970,960,304
42,514,462,334
242,456,386,372
415,612,570,487
386,681,620,513
30,600,590,220
4,786,669,571
209,943,852,612
144,954,900,522
292,802,799,313
74,592,555,333
170,760,730,380
56,672,560,504
340,780,720,520
21,396,365,238
72,705,697,230
275,565,470,460
657,878,804,761
45,246,214,173
16,712,688,328
263,745,726,366
156,520,429,403
34,750,666,502
70,840,700,630
60,480,450,270
33,279,276,90
184,566,545,295
153,986,969,374
120,825,785,430
372,654,558,540
228,760,627,589
411,837,746,622
11,93,92,30
256,985,874,673
340,918,816,646
162,920,912,290
336,552,488,448
477,784,756,541
38,528,524,150
15,180,150,135
40,736,724,268
170,459,408,323
210,469,406,357
220,452,376,368
124,668,570,486
216,730,657,487
100,192,186,118
284,874,788,586
47,977,920,536
111,268,258,151
168,484,480,196
52,312,250,246
190,513,456,361
122,976,915,549
6,72,60,54
60,795,771,354
138,612,570,360
255,585,540,390
133,654,574,453
102,816,765,459
376,776,720,528
280,756,672,532
100,432,354,334
165,880,781,594
300,810,720,570
12,144,120,108
8,220,202,134
14,623,602,287
336,968,960,392
306,990,972,432
92,652,548,484
310,837,744,589
4,68,66,30
584,893,821,710
64,332,270,258
82,656,615,369
104,689,650,377
448,911,847,620
508,825,760,633
81,306,297,144
26,442,429,195
9,34,33,16
228,495,471,306
98,883,840,459
80,388,384,132
48,347,302,243
213,963,937,431
136,901,850,493
128,718,627,501
114,912,855,513
582,811,730,699
45,290,285,110
55,782,776,223
115,470,420,315
40,644,612,336
47,564,470,423
5,310,309,66
50,135,120,95
110,417,393,236
207,782,759,368
51,612,510,459
65,780,650,585
90,765,610,605
394,965,893,628
15,80,71,54
119,241,222,168
99,374,363,176
60,320,284,216
147,454,420,283
50,760,690,480
390,871,754,663
12,240,236,88
138,804,696,570
404,954,890,612
36,840,688,644
27,102,99,48
47,561,534,290
37,444,370,333
190,834,816,352
10,508,412,394
291,592,555,394
128,808,732,516
66,457,456,97
43,560,555,168
123,388,379,180
7,474,448,255
74,394,333,291
88,704,660,396
389,860,842,461
232,678,556,534
2,150,141,83
438,738,627,621
10,750,705,415
260,702,624,494
398,829,797,502
440,904,752,736
60,291,288,99
53,667,666,114
2,300,288,146
4,620,617,151
20,240,200,180
60,255,215,190
51,503,485,237
69,489,411,363
41,319,318,72
207,846,756,567
409,935,862,626
294,908,840,566
56,750,749,123
57,527,501,275
207,918,855,540
68,816,680,612
76,165,157,102
62,109,93,90
72,345,281,268
62,496,465,279
114,627,596,331
92,536,464,380
27,174,171,66
28,224,210,126
120,423,386,271
315,882,828,531
220,831,706,615
204,867,731,646
20,265,257,118
27,485,480,152
93,738,720,309
255,522,503,316
206,540,449,423
47,97,90,66
84,357,301,266
186,327,279,270
222,536,516,302
330,765,757,368
135,825,760,500
46,368,345,207
168,276,244,224
186,843,771,528
117,442,429,208
108,590,561,311
238,770,756,336
138,564,504,378
59,816,660,635
55,113,94,92
160,470,408,342
171,875,857,357
233,580,545,358
199,529,436,418
216,720,594,558
500,960,930,590
320,864,768,608
270,404,366,332
334,962,780,768
24,226,225,55
63,406,399,154
3,450,432,219
30,360,300,270
248,436,372,360
350,672,651,413
4,879,814,519
2,24,20,18
288,960,792,744
111,918,840,567
90,243,216,171
55,972,951,388
72,994,868,690
50,291,284,123
15,204,200,79
36,172,163,93
31,246,240,103
18,306,297,135
115,678,675,178
100,270,240,190
318,608,552,446
6,102,99,45
2,873,825,470
348,674,593,519
132,869,797,534
573,915,850,698
300,669,613,458
150,408,365,283
88,583,550,319
238,482,444,336
43,516,430,387
108,660,608,400
153,351,324,234
323,741,684,494
69,932,810,653
2,127,106,95
20,284,242,206
47,849,804,452
261,762,648,573
16,106,100,58
4,178,172,82
23,134,116,95
60,134,116,102
194,666,603,437
233,926,830,617
66,879,711,684
34,78,72,52
210,345,305,280
45,900,885,330
161,938,812,665
561,902,825,704
87,873,864,276
36,278,246,188
42,840,826,308
238,546,504,364
343,908,847,566
80,762,629,579
29,291,288,92
124,984,960,412
306,702,648,468
363,958,915,544
9,108,90,81
42,889,786,601
99,172,163,120
40,108,96,76
2,385,345,252
243,606,580,347
50,710,605,515
144,690,562,536
570,704,668,618
8,136,132,60
88,744,736,240
244,638,625,311
111,522,460,359
76,590,485,451
60,669,576,477
144,772,669,547
67,804,670,603
125,968,965,218
80,358,332,214
51,682,675,214
188,298,279,225
95,393,324,302
246,776,758,360
50,850,825,375
372,726,710,424
